Algorithm,Delivery Ratio (%),Average Delay (minutes),Network Overhead,Routing Efficiency,Total Bundles,Bundles Delivered,RF Throughput (Mbps),Average SNR (dB),Average Data Rate (Mbps),Link Availability (%),Link Margin (dB),Data Transmitted (MB),RF Limited Contacts,Weather Affected Contacts,Average Weather Attenuation (dB),Cross-Layer Performance Score
epidemic,97.2,12.8,13.69,0.071,144,140,5.83,50.6,1997.9,100.0,35.6,140.0,0,0,0.0,0.972
prophet,69.4,22.2,9.42,0.074,144,100,4.17,50.8,1997.5,100.0,35.8,100.0,0,0,0.0,0.694
spray_and_wait,60.4,28.6,7.34,0.082,144,87,3.63,50.5,1997.8,100.0,35.5,87.0,0,0,0.0,0.604
